net,length_um
_095_,778.04
_085_,736.66
_160_,716.48
_159_,701.12
_027_,690.66
_077_,670.38
decoder.digit\[1\],652.56
_127_,642.26
one_second_counter\[0\],627.24
decoder.digit\[0\],615.54
one_second_counter\[4\],565.54
one_second_counter\[1\],563.7
_161_,555.2
decoder.digit\[3\],521.82
decoder.digit\[2\],489.42
one_second_counter\[8\],484.1
one_second_counter\[17\],480.34
one_second_counter\[9\],478.58
one_second_counter\[19\],473.88
one_second_counter\[16\],464.7
one_second_counter\[10\],461.7
net6,455.2
one_second_counter\[18\],451.775
one_second_counter\[22\],451.24
one_second_counter\[13\],449.315
_075_,442.92
one_second_counter\[21\],434.1
one_second_counter\[5\],430.62
one_second_counter\[15\],430.38
one_second_counter\[2\],420.24
_145_,415.76
_042_,414.54
one_second_counter\[25\],405.32
one_second_counter\[12\],404.9
_150_,403.46
_007_,401.76
_143_,399.75
_056_,397.41
_157_,393.44
_068_,386.38
one_second_enable,384.395
_114_,382.2
_092_,376.6
_135_,372.38
_100_,369.26
net1,368.02
_065_,364.76
_120_,363.88
_148_,356.74
_037_,356.65
_136_,355.1
one_second_counter\[3\],353.22
_156_,353.12
_130_,350.38
_020_,347.67
_060_,346.38
net2,344.9
one_second_counter\[6\],342.24
one_second_counter\[14\],340.2
_117_,339.22
_053_,336.52
_155_,335.3
_129_,332.52
one_second_counter\[11\],331.3
_109_,329.7
net5,326.38
_141_,322.04
_102_,320.02
_067_,319.96
_063_,318.98
_107_,317.73
_096_,316.16
_118_,312.98
_083_,311.2
one_second_counter\[20\],306.48
_121_,302.46
_128_,296.24
clknet_2_3__leaf_clk,294.7
_057_,294.44
_103_,292.56
_016_,281.26
_112_,272.9
_134_,272.34
_124_,269.48
_073_,269.46
_005_,269.16
_041_,268.41
net4,264.52
_015_,263.76
clknet_0_clk,263.15
_138_,262.62
one_second_counter\[7\],260.86
_142_,257.7
clknet_2_2__leaf_clk,255.24
_036_,252.85
_062_,252.7
_153_,251
_028_,246.57
_076_,245.8
_064_,245.7
_119_,238.88
_044_,236.55
_105_,235.85
_026_,234.54
_080_,234.34
_108_,226.6
_090_,226.16
_122_,220.46
_088_,220.36
_061_,217.52
_106_,217.42
clknet_2_0__leaf_clk,216.8
_149_,216.62
_110_,215.78
_000_,213.68
_048_,212.83
one_second_counter\[23\],212.74
_084_,212.3
_069_,211.28
_144_,211.24
_055_,210.87
_023_,208.74
_133_,206.44
_002_,202.86
clknet_2_1__leaf_clk,202.14
_158_,200.9
_034_,199.95
_013_,198.48
one_second_counter\[24\],196.52
_087_,195.28
net8,192.1
_078_,188.82
_001_,187.02
_086_,185.81
one_second_counter\[26\],184.68
_139_,180.94
_082_,178.66
_046_,178.63
_006_,178.56
_123_,178.56
_024_,177.76
_021_,177.72
_059_,177.43
_111_,176.98
_116_,176.18
_009_,174.56
_071_,173.6
_032_,172.71
net7,170.68
_030_,170.18
_147_,168.1
_012_,163.34
_098_,162.26
_045_,159.66
_146_,159.08
_029_,157.91
_038_,157.66
_151_,149.3
_154_,148.24
_066_,147.32
_010_,145.44
_003_,140.06
_011_,139.54
_091_,136.46
_081_,134.92
_115_,133.6
_050_,131.42
net3,129.06
_054_,126.45
_101_,122.1
_035_,121.19
_047_,118.67
_004_,118.15
_051_,112.88
_018_,112.64
_113_,109.4
_140_,108.9
_022_,107.78
_043_,106.62
clk,106.23
_132_,102.64
_097_,102.42
_033_,101.63
_070_,98.2
_137_,95.14
_074_,93.46
_094_,93.04
_089_,90.28
_031_,90.01
_058_,87.26
_125_,87.26
_126_,83.08
_093_,80.8
_019_,75.66
_008_,75.02
_152_,74.42
_131_,71.08
_099_,64.9
_040_,60.17
_025_,57.265
_079_,50.14
_017_,33.66
_014_,32.2
_039_,32.15
_104_,25.22
_052_,21.62
_072_,17.05
net10,11.02
net9,9.64
seg[0],9.4
seg[1],9.4
seg[2],9.4
seg[3],9.4
seg[4],9.4
seg[5],9.4
seg[6],9.4
net16,8.96
net11,8.04
net12,8.04
net13,8.04
net14,8.04
net15,8.04
rst,4.61
_049_,4.07
